receipt_quantity,invoice_date,tot_rec_item_cost,email3,invoice_cost,email2,po_number,email1,itemcost,receipt_cost,supplier_name,invoice_number,supplier_site,email5,email4,item,item_desc,invoice_quantity,due_date,upc,total_invoice_item_cost,pack_size,receipt_date,supplier_site_name,supplier_number,variance_unit_cost
,2022-01-31T00:00:00,,-,1.6625,-,695217,-,,1.6625,BRITANIA INDIA,695217,1002834,snankur@deloitte.com,-,1202606072,KATES DRK CHOC CHERRY,150,2022-02-10T00:00:00,897785001304,249.375,1,,422664_PKP1_99_BRITANIA INDIA(LX),1000059,0
receipt_quantity,invoice_date,tot_rec_item_cost,email3,invoice_cost,email2,po_number,email1,itemcost,receipt_cost,supplier_name,invoice_number,supplier_site,email5,email4,item,item_desc,invoice_quantity,due_date,upc,total_invoice_item_cost,pack_size,receipt_date,supplier_site_name,supplier_number,variance_unit_cost
,2022-01-31T00:00:00,,-,1.81,-,695217,-,,1.81,BRITANIA INDIA,695217,1002834,snankur@deloitte.com,-,1201556316,QUEST WHITE CHOC RASPBERRY BAR,100,2022-02-10T00:00:00,888849000210,181,1,,422664_PKP1_99_BRITANIA INDIA(LX),1000059,0
receipt_quantity,invoice_date,tot_rec_item_cost,email3,invoice_cost,email2,po_number,email1,itemcost,receipt_cost,supplier_name,invoice_number,supplier_site,email5,email4,item,item_desc,invoice_quantity,due_date,upc,total_invoice_item_cost,pack_size,receipt_date,supplier_site_name,supplier_number,variance_unit_cost
300,2022-02-14T00:00:00,543,-,4.81,-,660219,-,62,1.81,BRITANIA INDIA,INV660219,1002834,snankur@deloitte.com,-,1201556316,QUEST WHITE CHOC RASPBERRY BAR,100,2022-03-16T00:00:00,888849000210,481,1,2022-02-11T18:32:54,422664_PKP1_99_BRITANIA INDIA(LX),1000059,-3
receipt_quantity,invoice_date,tot_rec_item_cost,email3,invoice_cost,email2,po_number,email1,itemcost,receipt_cost,supplier_name,invoice_number,supplier_site,email5,email4,item,item_desc,invoice_quantity,due_date,upc,total_invoice_item_cost,pack_size,receipt_date,supplier_site_name,supplier_number,variance_unit_cost
90,2022-01-09T00:00:00,162,-,1.81,-,700226,-,-59,1.81,BRITANIA INDIA,INV700226,1002834,snankur@deloitte.com,-,1201556316,QUEST WHITE CHOC RASPBERRY BAR,123,2022-02-08T00:00:00,888849000210,222.63,1,2022-02-07T00:00:00,422664_PKP1_99_BRITANIA INDIA(LX),1000059,0
receipt_quantity,invoice_date,tot_rec_item_cost,email3,invoice_cost,email2,po_number,email1,itemcost,receipt_cost,supplier_name,invoice_number,supplier_site,email5,email4,item,item_desc,invoice_quantity,due_date,upc,total_invoice_item_cost,pack_size,receipt_date,supplier_site_name,supplier_number,variance_unit_cost
100,2022-01-08T00:00:00,181,-,1.81,-,705221,-,-45,1.81,BRITANIA INDIA,INV705221,1002834,snankur@deloitte.com,-,1201556316,QUEST WHITE CHOC RASPBERRY BAR,125,2022-02-07T00:00:00,888849000210,226.25,1,2022-02-07T00:00:00,422664_PKP1_99_BRITANIA INDIA(LX),1000059,0
receipt_quantity,invoice_date,tot_rec_item_cost,email3,invoice_cost,email2,po_number,email1,itemcost,receipt_cost,supplier_name,invoice_number,supplier_site,email5,email4,item,item_desc,invoice_quantity,due_date,upc,total_invoice_item_cost,pack_size,receipt_date,supplier_site_name,supplier_number,variance_unit_cost
200,2022-02-07T00:00:00,2948,-,20,-,755226,-,-1052,14.74,HINDUSTAN UNILEVER,INV755226,1003452,snankur@deloitte.com,-,1202546525,ICE CUBES 5 PK,200,2022-02-11T00:00:00,072084003499,4000,1,2022-02-10T00:00:00,142322_PKP1_99_R.L.HINDUSTAN UNILEVER,1000249,-5
receipt_quantity,invoice_date,tot_rec_item_cost,email3,invoice_cost,email2,po_number,email1,itemcost,receipt_cost,supplier_name,invoice_number,supplier_site,email5,email4,item,item_desc,invoice_quantity,due_date,upc,total_invoice_item_cost,pack_size,receipt_date,supplier_site_name,supplier_number,variance_unit_cost
100,2022-01-08T00:00:00,50,-,0.505,-,700221,-,10,0.505,LAYS INDIA,INV700221,1003761,snankur@deloitte.com,-,810176,PEANUT BUTTER BAKERY BONE,80,2022-02-07T00:00:00,850089007625,40.4,1,2022-02-07T00:00:00,101100_PKP1_99_LAYS INDIA,1000356,0
